32 1184.99 1021.52
48 1654.03 1373.66
64 2533.2 2341.77
96 3874.48 3677.27
128 4825.18 4627.41
192 7423.16 6952.1
256 10162.8 9566.04
384 15124.4 14198.8
512 20575.9 18544
768 29992.4 27856.9
1024 40974.8 38636.1
1536 58290 55060.2
2048 76895.6 69274
3072 109781 101948
4096 137374 134053
6144 186351 142983
8192 193032 169988
12288 278551 224772
16384 376548 290277
24576 415440 317424
32768 537978 452300
49152 647482 583718
65536 692781 616502
98304 775595 700018
131072 776330 569757
196608 709370 665578
262144 779709 722581
393216 807713 752593
524288 816600 773316
