64 66840.7 19947.1
96 17424.4 20351.5
128 92252.3 31069.6
192 163057 55787.3
256 44548.9 54767.4
768 119775 138953
1024 164406 205832
1536 2.21965e+06 585065
2048 309085 339065
3072 4.02885e+06 916627
4096 4.62042e+06 1.2041e+06
8192 9.62067e+06 2.05795e+06
12288 1.8156e+06 2.06837e+06
16384 2.13974e+06 2.50399e+06
24576 3.15948e+06 3.57242e+06
32768 3.88915e+06 4.23706e+06
